RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
J18,top,2682.48031496063,4950.9842519685035,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
C5,top,3343.503937007874,3088.3858267716537,0,0603,
LED_1_6,top,6968.503937007874,3832.48031496063,0,5050,
J58,top,1731.1023622047244,3102.5590551181103,270,VIA_1MM_1.6MM,
JLEFT,top,787.4015748031496,1181.1023622047244,0,,
P219,top,3937.0078740157483,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
J16,top,1931.2712598425196,4102.55905511811,0,"0603+0.1""TH-VIA(1,1.6mm)x2",
J113,top,2654.527559055118,1680.1181102362204,0,VIA_1MM_1.6MM,
R25,top,8338.3231496063,3772.392244094488,270,0603 (1608 metric),75KOhm
LED_2_2,top,3818.8976377952754,4619.881889763779,0,5050,
LED_1_4,top,5393.700787401574,3832.48031496063,0,5050,
R6,top,316.1137795275591,955.7086614173228,270,0603,100.00 kΩ
RP_0_4,top,5373.811023622047,3543.3070866141734,270,Through Hole,
JP2,top,1968.5039370078741,400.0,0,VIA_1MM_1.6MM,
P212,top,1574.8031496062993,590.5511811023622,0,CAP-PAD-FINGER-LOWER,
C25,top,2611.4312992125983,4667.498110236221,0,0603,
J24,top,8150.5905511811025,3180.6370078740156,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
P213,top,2362.2047244094488,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
C1,top,2551.181102362205,3088.582677165354,0,0603,
C18,top,4139.763779527559,3875.787401574803,0,0603,
F3,top,125.98425196850394,4931.102362204724,270,SOT-23-3,
J56,top,1331.1023622047244,3102.5590551181103,270,VIA_1MM_1.6MM,
RP_1_0,top,2224.2047244094488,4330.708661417323,270,Through Hole,
RP_0_2,top,3799.0078740157483,3543.3070866141734,270,Through Hole,
C8,top,6496.062992125984,3088.3858267716537,0,0603,
LED_3_0,top,669.2913385826772,3045.0787401574803,0,5050,
J8,top,881.8897637795276,3552.952755905512,0,,
J101,top,1812.992125984252,1982.0,0,VIA_1MM_1.6MM,
C6,top,4922.244094488189,3088.3858267716537,0,0603,
P229,top,7086.614173228347,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
P231,top,7874.0157480314965,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
F1,top,211.61417322834646,4491.141732283465,270,0603 (1608 Metric),
J53,top,1531.4121653543307,3302.5590157480315,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
J27,top,8438.906496062993,3183.281496062992,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
J28,top,8360.236220472441,3183.281496062992,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
C11,top,5702.755905511811,3092.6949606299213,0,0603,
C21,top,7288.385826771653,4663.385826771653,0,0603,
C19,top,2549.212598425197,3875.787401574803,0,0603,
C26,top,3338.582677165354,4668.307086614173,0,0603,
J25,top,277.5590551181102,4152.55905511811,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
J103,top,1809.0,2784.448818897638,0,VIA_1MM_1.6MM,
J66,top,1731.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
C42,top,1534.1960236220473,4188.370078740158,180,0603,
R24,top,8338.582677165354,4438.990472440945,90,0603,10 kΩ
J71,top,1631.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
J99,top,1968.5039370078741,100.0,0,VIA_1MM_1.6MM,
PC2_4,top,5511.811023622047,2559.0551181102364,0,BELIEVOTRON-PAD-CAP,
RP_1_1,top,3011.6062992125985,4330.708661417323,270,Through Hole,
J1,top,118.11023622047244,4550.0,90,TH,
LED_0_0,top,2246.913070866142,3045.0787401574803,0,5050,
J13,top,2828.740157480315,3088.3858267716537,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
J68,top,1131.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
C23,top,4129.921259842519,4664.370078740158,0,0603,
J62,top,344.29122047244095,4402.55905511811,270,"0603+0.1""TH-VIA(1,1.6mm)x2",
J69,top,1431.4121653543307,3902.5590551181103,270,VIA_1MM_1.6MM,
C40,top,8306.51003937008,3667.51968503937,270,0603,
JOY_R_SW,top,1858.267716535433,1301.1811023622047,90,0603,10 kΩ
C12,top,5703.740157480315,3875.787401574803,0,0603,
RP_1_5,top,6161.212598425197,4330.708661417323,270,Through Hole,
J63,top,831.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
J82,top,1881.1023622047244,4562.992125984252,0,VIA_1MM_1.6MM,
J78,top,1248.0314960629921,4303.796062992126,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
C28,top,1014.9606299212599,3088.3858267716537,0,0603,
C15,top,8026.574803149606,3913.3858267716537,90,0603,
J100,top,1968.5039370078741,200.0,0,VIA_1MM_1.6MM,
J83,top,402.5590551181102,4548.228346456693,0,VIA_1MM_1.6MM,
RP_0_6,top,6948.614173228347,3543.3070866141734,270,Through Hole,
J4,top,1182.0866141732283,3402.5590551181103,0,,
JP4,top,1968.5039370078741,800.0,0,VIA_1MM_1.6MM,
R27,top,8295.94279527559,3179.316968503937,90,0603,10 kΩ
J59,top,931.1023622047244,3902.5590551181103,270,VIA_1MM_1.6MM,
J75,top,2182.48031496063,4950.9842519685035,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
PADCAP_KEY,top,1163.3858267716535,1176.1811023622047,0,QFN20,
J77,top,1311.023622047244,4455.7366535433075,90,"0603+0.1""TH-VIA(1,1.6mm)x2",
C36,top,1739.1732283464567,3206.2916141732285,90,0603,
J115,top,4242.0,1639.763779527559,0,VIA_1MM_1.6MM,
J19,top,2682.48031496063,4850.984212598425,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
J51,top,1534.1960236220473,4009.504724409449,180,"0603+0.1""TH-VIA(1,1.6mm)x2",
C27,top,5718.503937007874,4662.40157480315,0,0603,
F5,top,397.0612598425197,3669.2913385826773,270,SOT-23-3,
JP7,top,1968.5039370078741,1100.0,0,VIA_1MM_1.6MM,
P224,top,1574.8031496062993,1771.6535433070867,0,BELIEVOTRON-PAD-CAP,
JP1,top,1968.5039370078741,600.0,0,VIA_1MM_1.6MM,
